eid,cycle,firmware
62376,2011-2012,1.8.0
62377,2011-2012,2.4.0
62378,2011-2012,2.4.0
62379,2011-2012,2.2.0
62383,2011-2012,1.8.0
62386,2011-2012,2.4.0
62387,2011-2012,1.9.0
62389,2011-2012,2.4.0
62390,2011-2012,2.2.0
62391,2011-2012,1.5.0
62393,2011-2012,1.5.0
62396,2011-2012,2.2.0
62397,2011-2012,1.8.0
62398,2011-2012,1.8.0
62399,2011-2012,1.5.0
62400,2011-2012,1.9.0
62401,2011-2012,2.5.0
62402,2011-2012,1.8.0
62404,2011-2012,2.4.0
62407,2011-2012,2.2.0
62409,2011-2012,2.4.0
62411,2011-2012,1.9.0
62412,2011-2012,2.0.0
62413,2011-2012,1.9.0
62414,2011-2012,1.5.0
62415,2011-2012,2.1.0
62416,2011-2012,1.9.0
62417,2011-2012,2.4.0
62418,2011-2012,2.5.0
62419,2011-2012,2.3.0
62421,2011-2012,2.2.0
62425,2011-2012,2.4.0
62426,2011-2012,2.3.0
62427,2011-2012,1.9.0
62428,2011-2012,1.8.0
62429,2011-2012,1.8.0
62430,2011-2012,2.3.0
62431,2011-2012,2.4.0
62432,2011-2012,2.4.0
62434,2011-2012,2.4.0
62437,2011-2012,1.9.0
62439,2011-2012,2.4.0
62440,2011-2012,1.9.0
62441,2011-2012,1.9.0
62444,2011-2012,2.4.0
62448,2011-2012,1.5.0
62449,2011-2012,1.5.0
62450,2011-2012,1.9.0
62452,2011-2012,1.9.0
62454,2011-2012,2.5.0
62456,2011-2012,2.5.0
62457,2011-2012,2.2.0
62458,2011-2012,2.4.0
62460,2011-2012,2.4.0
62461,2011-2012,2.4.0
62462,2011-2012,2.5.0
62463,2011-2012,2.3.0
62464,2011-2012,2.0.0
62465,2011-2012,2.0.0
62467,2011-2012,2.3.0
62469,2011-2012,1.8.0
62471,2011-2012,1.5.0
62472,2011-2012,2.4.0
62473,2011-2012,1.8.0
62474,2011-2012,2.4.0
62475,2011-2012,1.9.0
62476,2011-2012,2.2.0
62477,2011-2012,2.4.0
62479,2011-2012,2.4.0
62480,2011-2012,2.4.0
62481,2011-2012,1.9.0
62482,2011-2012,2.1.0
62483,2011-2012,2.0.0
62484,2011-2012,1.7.0
62485,2011-2012,1.8.0
62487,2011-2012,2.4.0
62492,2011-2012,2.2.0
62494,2011-2012,2.2.0
62495,2011-2012,2.5.0
62497,2011-2012,1.9.0
62498,2011-2012,2.3.0
62500,2011-2012,2.4.0
62501,2011-2012,2.5.0
62502,2011-2012,2.4.0
62504,2011-2012,2.5.0
62506,2011-2012,2.5.0
62509,2011-2012,2.5.0
62510,2011-2012,2.3.0
62511,2011-2012,2.4.0
62512,2011-2012,2.2.0
62513,2011-2012,2.4.0
62514,2011-2012,2.5.0
62515,2011-2012,1.9.0
62516,2011-2012,2.4.0
62517,2011-2012,2.4.0
62519,2011-2012,2.4.0
62521,2011-2012,2.2.0
62522,2011-2012,2.0.0
62523,2011-2012,1.8.0
62524,2011-2012,1.8.0
62525,2011-2012,2.0.0
62526,2011-2012,2.4.0
62527,2011-2012,2.4.0
62528,2011-2012,2.4.0
62529,2011-2012,2.4.0
62530,2011-2012,1.9.0
62531,2011-2012,2.4.0
62532,2011-2012,1.9.0
62534,2011-2012,2.3.0
62536,2011-2012,2.2.0
62537,2011-2012,1.9.0
62539,2011-2012,1.8.0
62542,2011-2012,1.5.0
62544,2011-2012,2.1.0
62545,2011-2012,2.4.0
62546,2011-2012,2.3.0
62547,2011-2012,2.4.0
62548,2011-2012,2.5.0
62549,2011-2012,2.2.0
62550,2011-2012,2.2.0
62551,2011-2012,1.8.0
62552,2011-2012,2.5.0
62553,2011-2012,2.2.0
62555,2011-2012,2.5.0
62556,2011-2012,1.8.0
62557,2011-2012,2.4.0
62558,2011-2012,1.9.0
62559,2011-2012,2.5.0
62560,2011-2012,2.4.0
62561,2011-2012,1.5.0
62564,2011-2012,2.5.0
62565,2011-2012,1.8.0
62567,2011-2012,2.1.0
62570,2011-2012,2.5.0
62571,2011-2012,1.8.0
62572,2011-2012,2.4.0
62573,2011-2012,1.9.0
62574,2011-2012,2.4.0
62577,2011-2012,1.9.0
62578,2011-2012,2.4.0
62579,2011-2012,1.7.0
62580,2011-2012,2.1.0
62581,2011-2012,1.5.0
62583,2011-2012,2.5.0
62584,2011-2012,1.9.0
62585,2011-2012,2.0.0
62586,2011-2012,2.0.0
62587,2011-2012,2.5.0
62588,2011-2012,1.8.0
62589,2011-2012,2.4.0
62590,2011-2012,2.4.0
62591,2011-2012,1.5.0
62593,2011-2012,1.9.0
62595,2011-2012,2.2.0
62596,2011-2012,2.3.0
62597,2011-2012,1.9.0
62598,2011-2012,1.5.0
62599,2011-2012,1.9.0
62600,2011-2012,2.5.0
62601,2011-2012,1.8.0
62602,2011-2012,1.9.0
62603,2011-2012,1.5.0
62604,2011-2012,2.2.0
62609,2011-2012,2.0.0
62610,2011-2012,2.5.0
62611,2011-2012,2.4.0
62612,2011-2012,1.7.0
62613,2011-2012,2.5.0
62614,2011-2012,1.8.0
62616,2011-2012,2.2.0
62617,2011-2012,2.3.0
62618,2011-2012,1.8.0
62619,2011-2012,1.5.0
62620,2011-2012,2.4.0
62622,2011-2012,2.4.0
62623,2011-2012,2.5.0
62624,2011-2012,2.4.0
62625,2011-2012,2.4.0
62626,2011-2012,2.4.0
62630,2011-2012,2.5.0
62631,2011-2012,2.5.0
62632,2011-2012,1.7.0
62633,2011-2012,2.2.0
62634,2011-2012,1.9.0
62635,2011-2012,2.2.0
62636,2011-2012,1.5.0
62638,2011-2012,1.5.0
62639,2011-2012,2.4.0
62640,2011-2012,2.2.0
62642,2011-2012,2.0.0
62644,2011-2012,2.3.0
62645,2011-2012,2.4.0
62648,2011-2012,1.7.0
62649,2011-2012,1.7.0
62650,2011-2012,2.5.0
62651,2011-2012,2.4.0
62652,2011-2012,1.7.0
62658,2011-2012,2.0.0
62659,2011-2012,2.3.0
62662,2011-2012,1.5.0
62664,2011-2012,2.4.0
62665,2011-2012,2.2.0
62667,2011-2012,1.9.0
62668,2011-2012,1.7.0
62669,2011-2012,1.9.0
62670,2011-2012,2.1.0
62671,2011-2012,2.5.0
62672,2011-2012,2.2.0
62674,2011-2012,1.7.0
62676,2011-2012,1.8.0
62678,2011-2012,2.3.0
62679,2011-2012,1.7.0
62680,2011-2012,2.4.0
62682,2011-2012,2.4.0
62683,2011-2012,2.4.0
62684,2011-2012,2.4.0
62685,2011-2012,2.2.0
62686,2011-2012,2.4.0
62687,2011-2012,2.4.0
62689,2011-2012,1.9.0
62690,2011-2012,2.4.0
62691,2011-2012,1.5.0
62693,2011-2012,1.5.0
62694,2011-2012,2.4.0
62695,2011-2012,2.5.0
62696,2011-2012,2.4.0
62697,2011-2012,2.0.0
62701,2011-2012,1.9.0
62704,2011-2012,2.4.0
62706,2011-2012,2.4.0
62707,2011-2012,2.4.0
62709,2011-2012,2.0.0
62713,2011-2012,1.8.0
62714,2011-2012,1.5.0
62715,2011-2012,1.8.0
62716,2011-2012,2.4.0
62717,2011-2012,1.8.0
62718,2011-2012,2.4.0
62719,2011-2012,2.4.0
62720,2011-2012,2.2.0
62723,2011-2012,2.4.0
62724,2011-2012,2.4.0
62727,2011-2012,2.5.0
62728,2011-2012,2.4.0
62731,2011-2012,1.9.0
62732,2011-2012,1.9.0
62734,2011-2012,2.4.0
62735,2011-2012,2.4.0
62738,2011-2012,2.3.0
62739,2011-2012,2.4.0
62740,2011-2012,1.9.0
62742,2011-2012,1.9.0
62744,2011-2012,2.4.0
62745,2011-2012,1.5.0
62746,2011-2012,2.4.0
62747,2011-2012,2.5.0
62748,2011-2012,2.5.0
62749,2011-2012,2.4.0
62750,2011-2012,1.9.0
62751,2011-2012,2.4.0
62753,2011-2012,2.4.0
62755,2011-2012,1.9.0
62756,2011-2012,2.0.0
62757,2011-2012,2.4.0
62759,2011-2012,2.5.0
62760,2011-2012,1.9.0
62761,2011-2012,1.7.0
62763,2011-2012,2.4.0
62764,2011-2012,2.5.0
62765,2011-2012,2.2.0
62768,2011-2012,2.3.0
62769,2011-2012,1.9.0
62771,2011-2012,2.4.0
62772,2011-2012,1.7.0
62776,2011-2012,1.5.0
62777,2011-2012,2.2.0
62779,2011-2012,2.5.0
62783,2011-2012,1.7.0
62784,2011-2012,1.5.0
62786,2011-2012,2.3.0
62787,2011-2012,2.4.0
62788,2011-2012,1.9.0
62789,2011-2012,1.8.0
62790,2011-2012,1.8.0
62791,2011-2012,1.5.0
62792,2011-2012,2.5.0
62793,2011-2012,2.0.0
62794,2011-2012,2.4.0
62797,2011-2012,1.8.0
62798,2011-2012,2.4.0
62800,2011-2012,2.0.0
62801,2011-2012,2.4.0
62802,2011-2012,2.4.0
62803,2011-2012,2.4.0
62804,2011-2012,2.5.0
62805,2011-2012,2.4.0
62806,2011-2012,1.8.0
62807,2011-2012,1.8.0
62808,2011-2012,1.7.0
62809,2011-2012,2.4.0
62810,2011-2012,2.5.0
62811,2011-2012,2.4.0
62813,2011-2012,2.4.0
62814,2011-2012,1.9.0
62817,2011-2012,2.4.0
62818,2011-2012,1.5.0
62819,2011-2012,2.4.0
62821,2011-2012,2.5.0
62822,2011-2012,1.8.0
62823,2011-2012,1.9.0
62824,2011-2012,1.8.0
62828,2011-2012,1.9.0
62830,2011-2012,2.0.0
62832,2011-2012,2.2.0
62833,2011-2012,2.5.0
62834,2011-2012,2.2.0
62835,2011-2012,2.3.0
62836,2011-2012,2.4.0
62837,2011-2012,1.9.0
62838,2011-2012,2.4.0
62840,2011-2012,1.8.0
62841,2011-2012,1.5.0
62844,2011-2012,1.9.0
62845,2011-2012,2.5.0
62847,2011-2012,2.4.0
62848,2011-2012,2.4.0
62849,2011-2012,2.4.0
62853,2011-2012,2.3.0
62854,2011-2012,2.3.0
62855,2011-2012,2.4.0
62858,2011-2012,2.0.0
62859,2011-2012,2.5.0
62860,2011-2012,2.2.0
62861,2011-2012,2.0.0
62864,2011-2012,2.4.0
62867,2011-2012,2.5.0
62868,2011-2012,1.9.0
62871,2011-2012,2.2.0
62872,2011-2012,1.5.0
62874,2011-2012,2.4.0
62875,2011-2012,1.9.0
62876,2011-2012,1.8.0
62878,2011-2012,1.8.0
62879,2011-2012,1.5.0
62880,2011-2012,2.4.0
62881,2011-2012,1.8.0
62882,2011-2012,2.4.0
62884,2011-2012,2.4.0
62886,2011-2012,2.3.0
62887,2011-2012,1.9.0
62888,2011-2012,1.8.0
62890,2011-2012,2.2.0
62891,2011-2012,2.4.0
62892,2011-2012,2.5.0
62894,2011-2012,2.4.0
62898,2011-2012,1.9.0
62899,2011-2012,2.4.0
62900,2011-2012,2.5.0
62901,2011-2012,2.5.0
62902,2011-2012,2.0.0
62907,2011-2012,1.9.0
62908,2011-2012,2.4.0
62911,2011-2012,2.3.0
62912,2011-2012,1.5.0
62913,2011-2012,2.2.0
62916,2011-2012,2.3.0
62917,2011-2012,1.8.0
62918,2011-2012,2.5.0
62919,2011-2012,1.9.0
62921,2011-2012,1.9.0
62923,2011-2012,2.4.0
62924,2011-2012,2.5.0
62925,2011-2012,2.5.0
62927,2011-2012,2.4.0
62928,2011-2012,1.9.0
62929,2011-2012,2.5.0
62930,2011-2012,2.2.0
62931,2011-2012,2.3.0
62933,2011-2012,2.4.0
62935,2011-2012,2.3.0
62936,2011-2012,1.9.0
62937,2011-2012,2.0.0
62938,2011-2012,2.5.0
62939,2011-2012,2.2.0
62940,2011-2012,2.4.0
62941,2011-2012,1.9.0
62943,2011-2012,2.2.0
62944,2011-2012,1.9.0
62945,2011-2012,2.4.0
62946,2011-2012,1.9.0
62948,2011-2012,2.5.0
62949,2011-2012,1.5.0
62950,2011-2012,2.5.0
62951,2011-2012,2.4.0
62953,2011-2012,2.4.0
62955,2011-2012,2.4.0
62958,2011-2012,2.4.0
62959,2011-2012,2.2.0
62963,2011-2012,2.0.0
62966,2011-2012,1.7.0
62967,2011-2012,2.5.0
62969,2011-2012,1.9.0
62971,2011-2012,1.8.0
62973,2011-2012,2.3.0
62974,2011-2012,1.9.0
62975,2011-2012,2.4.0
62976,2011-2012,2.2.0
62977,2011-2012,1.8.0
62978,2011-2012,2.4.0
62979,2011-2012,2.3.0
62981,2011-2012,1.7.0
62982,2011-2012,2.4.0
62983,2011-2012,2.0.0
62985,2011-2012,2.2.0
62986,2011-2012,2.3.0
62987,2011-2012,1.7.0
62988,2011-2012,2.2.0
62990,2011-2012,2.4.0
62991,2011-2012,2.5.0
62992,2011-2012,2.5.0
62994,2011-2012,2.4.0
62995,2011-2012,2.4.0
62996,2011-2012,1.9.0
62997,2011-2012,1.5.0
62998,2011-2012,2.2.0
62999,2011-2012,2.3.0
63000,2011-2012,2.4.0
63002,2011-2012,2.5.0
63003,2011-2012,2.4.0
63004,2011-2012,2.2.0
63005,2011-2012,2.3.0
63006,2011-2012,1.5.0
63007,2011-2012,1.9.0
63008,2011-2012,2.4.0
63009,2011-2012,2.4.0
63010,2011-2012,1.5.0
63011,2011-2012,2.4.0
63012,2011-2012,1.8.0
63013,2011-2012,2.2.0
63014,2011-2012,2.5.0
63015,2011-2012,2.4.0
63017,2011-2012,1.9.0
63018,2011-2012,1.8.0
63019,2011-2012,2.5.0
63020,2011-2012,2.5.0
63021,2011-2012,1.8.0
63022,2011-2012,2.3.0
63023,2011-2012,1.9.0
63024,2011-2012,2.5.0
63025,2011-2012,2.5.0
63026,2011-2012,2.0.0
63027,2011-2012,2.2.0
63028,2011-2012,1.5.0
63030,2011-2012,1.7.0
63031,2011-2012,2.4.0
63032,2011-2012,1.7.0
63033,2011-2012,1.8.0
63035,2011-2012,1.9.0
63036,2011-2012,1.7.0
63037,2011-2012,1.7.0
63040,2011-2012,1.5.0
63041,2011-2012,2.3.0
63042,2011-2012,2.4.0
63043,2011-2012,2.3.0
63044,2011-2012,1.7.0
63045,2011-2012,2.3.0
63047,2011-2012,1.9.0
63048,2011-2012,1.8.0
63049,2011-2012,2.3.0
63050,2011-2012,2.4.0
63051,2011-2012,1.7.0
63053,2011-2012,2.2.0
63054,2011-2012,2.2.0
63056,2011-2012,1.8.0
63057,2011-2012,2.4.0
63058,2011-2012,1.9.0
63059,2011-2012,2.5.0
63060,2011-2012,2.3.0
63061,2011-2012,1.8.0
63063,2011-2012,2.3.0
63064,2011-2012,2.5.0
63065,2011-2012,2.3.0
63068,2011-2012,2.4.0
63069,2011-2012,1.8.0
63070,2011-2012,2.5.0
63071,2011-2012,2.4.0
63073,2011-2012,2.4.0
63076,2011-2012,2.4.0
63077,2011-2012,2.0.0
63078,2011-2012,2.2.0
63079,2011-2012,2.3.0
63080,2011-2012,2.4.0
63081,2011-2012,2.4.0
63082,2011-2012,2.5.0
63083,2011-2012,2.4.0
63086,2011-2012,2.4.0
63088,2011-2012,2.4.0
63089,2011-2012,1.9.0
63090,2011-2012,2.4.0
63091,2011-2012,2.5.0
63092,2011-2012,1.9.0
63093,2011-2012,2.4.0
63094,2011-2012,2.4.0
63096,2011-2012,1.5.0
63097,2011-2012,2.0.0
63098,2011-2012,2.0.0
63100,2011-2012,2.4.0
63101,2011-2012,1.8.0
63102,2011-2012,2.2.0
63103,2011-2012,2.4.0
63104,2011-2012,1.5.0
63106,2011-2012,2.0.0
63107,2011-2012,1.9.0
63109,2011-2012,2.4.0
63110,2011-2012,1.5.0
63112,2011-2012,2.0.0
63114,2011-2012,2.3.0
63116,2011-2012,1.9.0
63117,2011-2012,1.8.0
63118,2011-2012,2.3.0
63119,2011-2012,2.4.0
63121,2011-2012,2.4.0
63124,2011-2012,2.2.0
63125,2011-2012,1.7.0
63126,2011-2012,2.4.0
63127,2011-2012,2.4.0
63129,2011-2012,1.5.0
63130,2011-2012,2.4.0
63133,2011-2012,1.9.0
63134,2011-2012,2.5.0
63135,2011-2012,2.5.0
63136,2011-2012,2.0.0
63138,2011-2012,2.2.0
63139,2011-2012,1.8.0
63140,2011-2012,2.5.0
63141,2011-2012,2.4.0
63142,2011-2012,2.5.0
63145,2011-2012,2.4.0
63146,2011-2012,1.5.0
63147,2011-2012,2.3.0
63148,2011-2012,2.0.0
63149,2011-2012,1.9.0
63151,2011-2012,2.4.0
63152,2011-2012,1.5.0
63154,2011-2012,2.3.0
63155,2011-2012,1.8.0
63156,2011-2012,1.5.0
63157,2011-2012,1.9.0
63159,2011-2012,1.7.0
63160,2011-2012,2.3.0
63162,2011-2012,2.4.0
63163,2011-2012,2.4.0
63166,2011-2012,2.0.0
63167,2011-2012,2.4.0
63168,2011-2012,2.3.0
63170,2011-2012,1.9.0
63171,2011-2012,2.3.0
63172,2011-2012,2.2.0
63173,2011-2012,2.2.0
63174,2011-2012,1.9.0
63175,2011-2012,2.4.0
63176,2011-2012,2.4.0
63177,2011-2012,2.5.0
63178,2011-2012,1.8.0
63180,2011-2012,1.8.0
63181,2011-2012,1.9.0
63182,2011-2012,2.2.0
63183,2011-2012,2.4.0
63186,2011-2012,2.4.0
63187,2011-2012,1.5.0
63188,2011-2012,2.5.0
63190,2011-2012,2.2.0
63191,2011-2012,2.2.0
63192,2011-2012,2.3.0
63194,2011-2012,2.4.0
63195,2011-2012,2.4.0
63197,2011-2012,1.5.0
63198,2011-2012,1.7.0
63200,2011-2012,2.4.0
63201,2011-2012,2.5.0
63203,2011-2012,2.5.0
63205,2011-2012,2.5.0
63206,2011-2012,1.8.0
63207,2011-2012,1.9.0
63208,2011-2012,2.4.0
63209,2011-2012,2.3.0
63211,2011-2012,2.3.0
63212,2011-2012,2.4.0
63213,2011-2012,2.3.0
63214,2011-2012,1.8.0
63215,2011-2012,2.4.0
63216,2011-2012,2.4.0
63218,2011-2012,1.9.0
63219,2011-2012,2.2.0
63220,2011-2012,2.3.0
63221,2011-2012,2.3.0
63222,2011-2012,2.4.0
63223,2011-2012,1.9.0
63224,2011-2012,2.3.0
63225,2011-2012,2.4.0
63227,2011-2012,2.3.0
63228,2011-2012,2.4.0
63229,2011-2012,2.5.0
63230,2011-2012,1.7.0
63232,2011-2012,2.3.0
63233,2011-2012,2.4.0
63234,2011-2012,2.3.0
63235,2011-2012,2.3.0
63236,2011-2012,1.5.0
63239,2011-2012,1.8.0
63242,2011-2012,2.2.0
63245,2011-2012,2.5.0
63246,2011-2012,2.4.0
63247,2011-2012,2.4.0
63248,2011-2012,2.5.0
63249,2011-2012,1.9.0
63250,2011-2012,2.5.0
63252,2011-2012,2.5.0
63253,2011-2012,2.4.0
63254,2011-2012,2.2.0
63256,2011-2012,1.5.0
63257,2011-2012,1.9.0
63259,2011-2012,2.3.0
63260,2011-2012,2.4.0
63261,2011-2012,2.2.0
63262,2011-2012,2.3.0
63263,2011-2012,2.5.0
63264,2011-2012,2.5.0
63265,2011-2012,2.4.0
63267,2011-2012,2.5.0
63268,2011-2012,2.3.0
63269,2011-2012,2.5.0
63271,2011-2012,2.3.0
63273,2011-2012,2.5.0
63276,2011-2012,1.9.0
63277,2011-2012,1.8.0
63280,2011-2012,1.5.0
63281,2011-2012,1.5.0
63283,2011-2012,2.4.0
63284,2011-2012,2.4.0
63285,2011-2012,2.4.0
63287,2011-2012,1.5.0
63289,2011-2012,2.5.0
63290,2011-2012,1.7.0
63291,2011-2012,2.4.0
63292,2011-2012,2.3.0
63293,2011-2012,1.5.0
63295,2011-2012,1.7.0
63296,2011-2012,2.3.0
63297,2011-2012,2.0.0
63298,2011-2012,2.4.0
63299,2011-2012,1.5.0
63301,2011-2012,2.4.0
63302,2011-2012,2.5.0
63304,2011-2012,2.4.0
63305,2011-2012,1.9.0
63306,2011-2012,2.5.0
63307,2011-2012,2.4.0
63308,2011-2012,1.9.0
63310,2011-2012,1.8.0
63311,2011-2012,1.5.0
63312,2011-2012,2.2.0
63313,2011-2012,2.4.0
63316,2011-2012,1.9.0
63317,2011-2012,1.9.0
63318,2011-2012,1.9.0
63320,2011-2012,2.2.0
63321,2011-2012,2.4.0
63323,2011-2012,2.2.0
63324,2011-2012,2.2.0
63326,2011-2012,2.4.0
63327,2011-2012,1.5.0
63328,2011-2012,1.5.0
63329,2011-2012,2.4.0
63330,2011-2012,1.9.0
63331,2011-2012,2.5.0
63332,2011-2012,1.5.0
63333,2011-2012,2.3.0
63335,2011-2012,2.4.0
63336,2011-2012,2.3.0
63340,2011-2012,2.4.0
63341,2011-2012,2.2.0
63342,2011-2012,2.4.0
63343,2011-2012,1.8.0
63344,2011-2012,1.8.0
63345,2011-2012,1.9.0
63347,2011-2012,2.3.0
63349,2011-2012,2.5.0
63350,2011-2012,2.4.0
63351,2011-2012,1.5.0
63352,2011-2012,2.2.0
63353,2011-2012,2.2.0
63355,2011-2012,2.4.0
63357,2011-2012,1.9.0
63358,2011-2012,2.2.0
63360,2011-2012,2.5.0
63361,2011-2012,1.5.0
63363,2011-2012,2.5.0
63364,2011-2012,2.4.0
63365,2011-2012,2.5.0
63366,2011-2012,2.4.0
63367,2011-2012,1.7.0
63368,2011-2012,1.9.0
63369,2011-2012,1.9.0
63370,2011-2012,2.4.0
63371,2011-2012,2.5.0
63373,2011-2012,2.3.0
63375,2011-2012,1.9.0
63376,2011-2012,1.5.0
63377,2011-2012,2.4.0
63378,2011-2012,2.2.0
63379,2011-2012,2.4.0
63382,2011-2012,1.9.0
63383,2011-2012,1.5.0
63384,2011-2012,2.2.0
63385,2011-2012,2.5.0
63386,2011-2012,1.5.0
63387,2011-2012,1.8.0
63388,2011-2012,2.4.0
63389,2011-2012,2.5.0
63390,2011-2012,2.2.0
63391,2011-2012,2.4.0
63392,2011-2012,1.8.0
63393,2011-2012,1.5.0
63396,2011-2012,2.5.0
63397,2011-2012,2.4.0
63398,2011-2012,2.4.0
63401,2011-2012,2.4.0
63402,2011-2012,2.2.0
63403,2011-2012,2.5.0
63404,2011-2012,2.4.0
63405,2011-2012,2.4.0
63406,2011-2012,1.9.0
63407,2011-2012,1.5.0
63408,2011-2012,1.8.0
63409,2011-2012,2.4.0
63410,2011-2012,1.5.0
63411,2011-2012,2.4.0
63412,2011-2012,2.4.0
63413,2011-2012,1.8.0
63415,2011-2012,1.9.0
63417,2011-2012,1.5.0
63420,2011-2012,1.7.0
63421,2011-2012,2.4.0
63422,2011-2012,1.8.0
63424,2011-2012,2.4.0
63426,2011-2012,1.9.0
63427,2011-2012,2.4.0
63428,2011-2012,1.8.0
63429,2011-2012,1.9.0
63431,2011-2012,2.2.0
63432,2011-2012,2.3.0
63434,2011-2012,2.2.0
63435,2011-2012,1.9.0
63437,2011-2012,2.2.0
63438,2011-2012,2.1.0
63439,2011-2012,2.5.0
63440,2011-2012,2.3.0
63442,2011-2012,2.4.0
63443,2011-2012,2.1.0
63445,2011-2012,1.9.0
63446,2011-2012,1.8.0
63447,2011-2012,2.4.0
63448,2011-2012,1.8.0
63449,2011-2012,1.7.0
63450,2011-2012,2.5.0
63451,2011-2012,1.5.0
63452,2011-2012,2.5.0
63453,2011-2012,2.3.0
63454,2011-2012,2.3.0
63455,2011-2012,2.4.0
